job_title,job_url,search_term,pay_type,hourly_rate_min,hourly_rate_max,est_hours_per_week,est_duration_weeks,fixed_price,estimated_total_pay,job_description,skill_1,skill_2,skill_3,skill_4,skill_6,skill_7,skill_8,skill_9,skill_10,skill_11,skill_12,skill_13
bot developer,https://www.upwork.com/jobs/span-class-highlight-span-bot-developer_~021915502550928074341/?referrer_url_path=/nx/search/jobs/,AI,Hourly,30.0,59.0,30.0,4.0,,5340.0,I am looking for someone who can create a bot based on my intellectual property.,,Graphic Design,Copywriting,Email Marketing,Brand Strategy,,,,,,,
Agent Creator,https://www.upwork.com/jobs/span-class-highlight-span-Agent-Creator_~021915460506689751405/?referrer_url_path=/nx/search/jobs/,AI,Hourly,65.0,205.0,30.0,4.0,,16200.0,I am looking for someone experienced in creating unique  agents that can be given tasks to execute by voice. We’d like to have a system setup and built that we can manage. Part of this contract will be teaching the user how to manage after the system is built.,Artificial Intelligence,Lead Generation,Market Research,,,,,,,Artificial Intelligence,,
Speaker Needed for Virtual Event on Workplace Innovation,https://www.upwork.com/jobs/span-class-highlight-span-Speaker-Needed-for-Virtual-Event-Workplace-Innovation_~021915441172953188717/?referrer_url_path=/nx/search/jobs/,AI,Hourly,100.0,500.0,30.0,4.0,,36000.0,"We are seeking an engaging  speaker for an upcoming virtual event focused on leveraging  in the workplace. The speaker will share insights on how  tools can enhance productivity, streamline processes, and foster innovation. Candidates should have a strong understanding of  applications and excellent presentation skills to captivate a diverse audience. If you're passionate about educating others and have experience speaking at events or webinars, we want to hear from you!",Artificial Intelligence,Content Writing,,Communications,,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,,,,
Web Developer for Simple -Powered Web Page,https://www.upwork.com/jobs/Web-Developer-for-Simple-span-class-highlight-span-Powered-Web-Page_~021915439918734613449/?referrer_url_path=/nx/search/jobs/,AI,Hourly,43.0,70.0,30.0,4.0,,6780.0,"We are looking for a front-end developer to build a simple, clean web page that connects with our existing  backend. The page will display results from the  service, accept basic user input (like text or image upload), and show responses in a clear and responsive layout.

Requirements:
•    Strong experience with React or Vue.js
•    Able to connect to APIs and handle async data
•    Clean, responsive UI design
•    Basic understanding of  integration or experience working with  APIs
•    Good communication and can deliver quickly and efficiently

Bonus if you have:
•    Backend experience (Node.js, Python, etc.)
•    Previous work with  tools or ML projects

If this project excites you, we’d love to hear from you. We look forward to connecting with passionate developers who are ready to make an impact.",Artificial Intelligence,React,Vue.Js,Node.Js,Python,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,,,
Agent Builder for Digital Marketing Agency,https://www.upwork.com/jobs/span-class-highlight-span-Agent-Builder-for-Digital-Marketing-Agency_~021915423193918053321/?referrer_url_path=/nx/search/jobs/,AI,Hourly,30.0,50.0,30.0,8.0,,9600.0,"We are a full service digital marketing agency looking to integrate  agents into our company. We are in need of someone to design and deploy agents for content creation. The ideal person should be familiar with make, N8N and other  softwares necessary to build what we are seeking.",Artificial Intelligence,,,,,Artificial Intelligence,,,,Ai Agent Development,,
Prompt Engineer Needed to condense prompts while keeping same impact.,https://www.upwork.com/jobs/Prompt-Engineer-Needed-condense-prompts-while-keeping-same-impact_~021915401152669671948/?referrer_url_path=/nx/search/jobs/,AI,Fixed,,,,,100.0,100.0,I have a number of pages of prompts that help a user discover their core motivations while also discovering Myers Briggs and Ennegram scores and can find out Strengths finder.  The goal is to have Chat GPT know the user very well and then offer very detailed feedback and moving forward to achieve goals.  Currently my prompts are good but a little repetitive and can get long.  I would like to have these paired down a bit.  i have no idea how long this will take but my guess is somewhere between 5-10 hours even with .  :-)   In total is it about 280 questions which I don't think it needs to be that long.  As Chat GPT asks for clarification on the multiple choice questions it can get long.,Artificial Intelligence,,,,,,,,,Ai App Development,Generative Ai Prompt Engineering,
Analytics SaaS Product Design -  and Sentiment Analysis Experience Required,https://www.upwork.com/jobs/Analytics-SaaS-Product-Design-span-class-highlight-span-and-Sentiment-Analysis-Experience-Required_~021915247871641849943/?referrer_url_path=/nx/search/jobs/,AI,Hourly,35.0,50.0,30.0,8.0,,10200.0,"HireInfluence is an award-winning agency, serving the most established brands in the world since 2011.  We are seeking a highly skilled and creative Analytics Designer/Project Manager to lead the UI/UX design of a SaaS sentiment analysis solution.  

The project is fairly straightforward and the agency owner already has the concept structure identified.  We anticipate this phase of the project to be completed within 30 days. Opportunity for advancement based on experience and results.

REQUIRED FOR APPLICANTS:  Must have firm understanding of  tech design, sentiment analysis reporting, social media marketing.

-  Hired Designer will also serve as Project Manager when development phase begins - bridging the gap between the agency owner and a first-class tech dev team. 

-  Hired Designer/PM will be responsible for taking the product from ideation through wireframing and Figma design processes. 

-  Hired Designer/PM will incorporate trending/innovative technologies and best practice to create a valued solution within the social media marketing space.

- Hired Designer/PM will maintain a strict and efficiency timeline to ensure completed deadlines for this project phase are met without delay.

NOTE:  Must provide portfolio of comparable projects or relatable experience to be considered for this opportunity.",Artificial Intelligence,Project Management,Graphic Design,Social Media Marketing,,,,,,Artificial Intelligence,,
Build an -Driven Scheduling Bot for Thumbtack + Google Calendar (Round Robin Sales Assignments),https://www.upwork.com/jobs/Build-span-class-highlight-span-Driven-Scheduling-Bot-for-Thumbtack-Google-Calendar-Round-Robin-Sales-Assignments_~021915147376959137949/?referrer_url_path=/nx/search/jobs/,AI,Hourly,45.0,70.0,30.0,8.0,,13800.0,"We’re looking for a developer to build an automation bot that responds to leads on Thumbtack and schedules appointments based on round-robin logic across a small sales team using Google Calendar.

We want this to run 24/7 on a cloud VPS (like DigitalOcean) and handle all communication and scheduling automatically.

What the Bot Needs to Do:
Log into Thumbtack

Monitor incoming leads/messages

Parse intent (e.g., scheduling request)

-Generated or Template-Based Replies

Use  (Open API preferred) or simple logic to generate responses

Offer available time slots to the customer

Round Robin Scheduling

Maintain a rotating queue of salespeople (Google Sheet or CSV)

Assign each lead to the next available salesperson

Google Calendar Integration

Check that salesperson’s availability

Schedule confirmed appointments

Optionally send confirmations or reminders

Deploy to a VPS

Set up to run continuously (via cron, systemd, etc.)

Provide logging and error handling


Deliverables:
Fully working script with source code

README or setup guide

Configurable calendar + round robin system (CSV or Google Sheet)

Ongoing support (optional, paid separately)",Artificial Intelligence,Python,Selenium,Google Calendar Api,,Artificial Intelligence,Artificial Intelligence,,,,,
Agent Developer – Web Scraping,https://www.upwork.com/jobs/span-class-highlight-span-Agent-Developer-Web-Scraping_~021915113135397212247/?referrer_url_path=/nx/search/jobs/,AI,Hourly,50.0,82.0,,24.0,,47520.0,"PBI Commercial, a fast-moving construction and restoration company, is seeking an experienced  Agent Developer to build and maintain an intelligent web-scraping solution that scans up to 80 targeted websites for Construction, RAM, and Restoration bid opportunities.

This  Agent should be able to:
-Visit and navigate diverse websites (government portals, university procurement sites, GC bid boards, etc.)
-Identify relevant bid opportunities in our target service categories
-Extract key details such as project name, location, due dates, and requirements
-Feed this information into a structured database or trigger alerts (email/CRM)

Responsibilities:
-Build and train an  Agent or intelligent scraping bot for structured/unstructured sites
-Create rules to prioritize and filter opportunities relevant to our services
-Design workflows for frequent updates or scheduled scrapes
-Ensure resilience against website changes and anti-bot measures
-Provide export or API-compatible formats (CSV, Zoho CRM sync, or similar)

Requirements:
-Proven experience with  or automated web scraping tools (BeautifulSoup, Playwright, Selenium, LangChain, GPT-4 with function calling, etc.)
-Ability to extract data from both structured and unstructured HTML sources
-Experience handling login-based portals or CAPTCHA workarounds
-Strong skills in Python, JavaScript, or other scraping frameworks
-Familiarity with construction bidding/procurement sites is a plus

Deliverables:
-One  Agent or tool that can handle up to 80 URLs (starting small and scaling up)
-Dashboard or report of collected data
-Documentation and knowledge transfer",Artificial Intelligence,Data Extraction,Web Crawling,Python,Data Mining,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,,
Platform Build Program for Engineers & Electricians,https://www.upwork.com/jobs/Platform-Build-Program-for-Engineers-Electricians_~021915121110106508800/?referrer_url_path=/nx/search/jobs/,AI,Hourly,30.0,40.0,30.0,18.0,,18900.0,"🛠 Project Description: Build “WattWorks” – A Web Platform for Electricians & Engineers (Profiles, Marketplace, CRM,  Tools)
We’re building WattWorks — a smart, modular platform designed for electricians, engineers, and skilled tradespeople. The platform will serve as an all-in-one digital hub for:

Verified skill-based profiles

Service and tool marketplace

Job board with direct hiring

Built-in CRM tools and proposals

Training + licensing resources

-powered assistants for business tasks

We are seeking a dedicated full-time web developer (or small team) to lead development and deliver a working MVP within 6–8 weeks, with the opportunity to stay on through future phases (CRM, , mobile, and more).

🎯 Core Modules to Build (Phase 1):
Pro Directory (profiles with cert uploads + filters)

Job Board (post/apply, -matching by skill/location)

Service & Tool Marketplace (listings + Stripe/PayPal checkout)

Basic CRM Toolkit (proposal generator, calendar sync, invoicing)

User Login + Role Access (Electrician, Engineer, Client)

Admin Panel (moderation, verification management)

🔧 Tech Stack (Suggested):
React.js / Next.js or Bubble.io (if no-code MVP preferred)

Firebase or Supabase (auth, database)

Stripe / PayPal (checkout flow)

Airtable / Jetboost (directory logic if no-code)

Open (Phase 2: proposal writer, pricing assistant)

TailwindCSS or clean UI components (we provide style guide)

🧠 Optional Phase 2+ Features (Bonus Skills):
 integrations for proposals, code compliance chatbot, NEC forms

Tiered badge system for verified users

Forum/community hub for trades collaboration

Mobile-responsive design & future app compatibility

📅 Timeline & Commitment:
Phase 1 MVP: ~6–8 weeks full-time (30–40 hrs/week)

Full build timeline: 3.5–4 months with future milestones

Looking for weekly updates, milestone tracking, and responsive communication

🧾 To Apply, Please Include:
Links to relevant SaaS/marketplace platforms you’ve built

Your preferred tech stack and dev approach

Time availability (weekly hours you can commit)

Hourly or fixed rate quote for the MVP

Any team members you work with (if not solo)",Artificial Intelligence,Web Development,Database Management System,,,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,,,
Survey: Share your thoughts on using  agents in your work as a Payroll and Timekeeping Clerk,https://www.upwork.com/jobs/Survey-Share-your-thoughts-using-span-class-highlight-span-agents-your-work-Payroll-and-Timekeeping-Clerk_~021915073564438426909/?referrer_url_path=/nx/search/jobs/,AI,Fixed,,,,,5.0,5.0,"We are researchers from Stanford University studying   (). In this study, we’re interested in learning how people across different occupations want  agents to assist in their work. This survey targets people who work as Payroll and Timekeeping Clerks or had experience in this area before. Please ensure you satisfy this requirement before you participate in this study.

What are  agents?

An  agent refers to a system or program that is capable of autonomously performing certain tasks on behalf of a user or another system by designing its workflow and utilizing available tools.

Why Participate in This Survey?

While there have been many hypes about  agents, most discussions focus on full automation. It is unclear how these agents could support individual workers and what is the best way of incorporating these agents in users' workflows. Your participation will help us better understand how to develop  agents that enhance human work in ways that truly benefit workers.

What Will You Do?

This survey consists of three parts:

1. Share your occupation and daily workflow (we make this part of the survey interactive and more engaging - just like a small interview!)

2. Based on your answers in the previous part, you will see specific tasks from your work. For each task, you will need to answer the same set of rating questions.

3. Answer brief demographic questions

The survey will take approximately 10–15 minutes.",Artificial Intelligence,,,,,Intelligence,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,,,
Fullstack Software Engineer - Cursor Expert,https://www.upwork.com/jobs/Fullstack-Software-Engineer-Cursor-Expert_~021915081527518800029/?referrer_url_path=/nx/search/jobs/,AI,Hourly,80.0,150.0,30.0,24.0,,82800.0,"🚀 Fullstack Engineer (Cursor Expert) |  Venture Studio

We’re Mahway, a venture builder launching -native and -resistant startups.

We’re looking for a fullstack software engineer/consultant who lives and breathes  to help us:
	•	Set best practices for  + engineering
	•	Coach offshore teams (especially in Cursor)
	•	Support technical interviews + assessments

You’ll help shape the platforms powering multiple startups. If you’re a Cursor expert and excited by fast-moving, high-impact work—we want to meet you.

Let’s chat.",Artificial Intelligence,React,Node.Js,Javascript,,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Ai-Generated Code,Ai Development,
